id_municipio,nome_municipio,sigla_uf,nome_regiao,cluster,cluster_k3,taxa_alf,risco_previsto,n_alunos,presenca
1100015,Alta Floresta D'Oeste,RO,Norte,0,0,0.6071,0.4224,560,0.8964
1100023,Ariquemes,RO,Norte,1,2,0.5722,0.4373,2562,0.8931
1100031,Cabixi,RO,Norte,1,1,0.6727,0.3066,165,0.9152
1100049,Cacoal,RO,Norte,1,1,0.578,0.3935,1986,0.8882
1100056,Cerejeiras,RO,Norte,1,1,0.587,0.3101,494,0.9433
1100064,Colorado do Oeste,RO,Norte,1,1,0.605,0.3576,362,0.8895
1100072,Corumbiara,RO,Norte,1,1,0.5964,0.3196,275,0.9018
1100080,Costa Marques,RO,Norte,0,0,0.6422,0.4383,450,0.9133
1100098,Espigão D'Oeste,RO,Norte,1,1,0.695,0.3995,905,0.9138
1100106,Guajará-Mirim,RO,Norte,0,0,0.4197,0.4959,1084,0.917
1100114,Jaru,RO,Norte,1,1,0.5886,0.4047,1366,0.9173
1100122,Ji-Paraná,RO,Norte,1,1,0.5995,0.3992,3398,0.8761
1100130,Machadinho D'Oeste,RO,Norte,0,0,0.5104,0.5155,960,0.8719
1100148,Nova Brasilândia D'Oeste,RO,Norte,1,1,0.7043,0.3761,487,0.9363
1100155,Ouro Preto do Oeste,RO,Norte,1,1,0.6241,0.4303,838,0.8902
1100189,Pimenta Bueno,RO,Norte,1,1,0.6881,0.3827,1013,0.9003
1100205,Porto Velho,RO,Norte,1,2,0.5032,0.479,13166,0.8577
1100254,Presidente Médici,RO,Norte,1,1,0.5833,0.3341,444,0.8986
1100262,Rio Crespo,RO,Norte,1,1,0.6124,0.2976,129,0.8605
1100288,Rolim de Moura,RO,Norte,1,2,0.653,0.4163,1484,0.909
1100296,Santa Luzia D'Oeste,RO,Norte,1,2,0.7542,0.3135,179,0.9497
1100304,Vilhena,RO,Norte,1,2,0.5987,0.4227,2756,0.861
1100320,São Miguel do Guaporé,RO,Norte,0,1,0.6318,0.4029,573,0.9215
1100338,Nova Mamoré,RO,Norte,0,0,0.4779,0.5021,904,0.8717
1100346,Alvorada D'Oeste,RO,Norte,1,1,0.4494,0.3336,336,0.869
1100379,Alto Alegre dos Parecis,RO,Norte,0,0,0.6862,0.4279,392,0.9133
1100403,Alto Paraíso,RO,Norte,0,1,0.5265,0.4145,359,0.8468
1100452,Buritis,RO,Norte,0,1,0.5492,0.4859,976,0.8924
1100502,Novo Horizonte do Oeste,RO,Norte,1,1,0.6667,0.3851,222,0.9234
1100601,Cacaulândia,RO,Norte,1,1,0.6335,0.2937,161,0.8882
1100700,Campo Novo de Rondônia,RO,Norte,0,0,0.5988,0.4282,344,0.9099
1100809,Candeias do Jamari,RO,Norte,0,1,0.4417,0.4449,815,0.8503
1100908,Castanheiras,RO,Norte,1,1,0.6134,0.2974,119,0.9076
1100924,Chupinguaia,RO,Norte,0,1,0.6649,0.408,367,0.861
1100940,Cujubim,RO,Norte,1,1,0.6626,0.4444,569,0.9121
1101005,Governador Jorge Teixeira,RO,Norte,0,0,0.6642,0.378,274,0.9124
1101104,Itapuã do Oeste,RO,Norte,0,1,0.7529,0.4089,340,0.8941
1101203,Ministro Andreazza,RO,Norte,1,1,0.6722,0.2962,180,0.95
1101302,Mirante da Serra,RO,Norte,0,1,0.5701,0.3635,328,0.8598
1101401,Monte Negro,RO,Norte,0,1,0.6559,0.4129,433,0.9053
1101435,Nova União,RO,Norte,0,0,0.5924,0.3658,184,0.9022
1101450,Parecis,RO,Norte,0,0,0.5496,0.3869,131,0.8702
1101468,Pimenteiras do Oeste,RO,Norte,1,1,0.494,0.2807,83,0.8795
1101476,Primavera de Rondônia,RO,Norte,1,1,0.6446,0.305,121,0.9091
1101484,São Felipe D'Oeste,RO,Norte,1,1,0.5743,0.3487,148,0.8716
1101492,São Francisco do Guaporé,RO,Norte,0,0,0.5729,0.4571,576,0.8872
1101500,Seringueiras,RO,Norte,0,0,0.5914,0.425,394,0.9213
1101559,Teixeirópolis,RO,Norte,1,1,0.6058,0.3037,137,0.8832
1101609,Theobroma,RO,Norte,0,1,0.6133,0.326,225,0.9289
1101708,Urupá,RO,Norte,0,1,0.5994,0.4096,317,0.8991
1101757,Vale do Anari,RO,Norte,0,0,0.417,0.4153,259,0.8687
1101807,Vale do Paraíso,RO,Norte,0,1,0.4463,0.3783,177,0.8588
1200013,Acrelândia,AC,Norte,0,0,0.453,0.6055,234,0.7692
1200054,Assis Brasil,AC,Norte,0,0,0.4194,0.5964,124,0.8306
1200104,Brasiléia,AC,Norte,0,0,0.3975,0.6317,473,0.814
