id_municipio,taxa_2023,taxa_2024,meta_2030,nome_municipio,sigla_uf,n_alunos_2024,presenca_2024,cluster,vel_municipio,vel_uf,vel_encolhida,proj_2030_mantem_2024,gap_mantem_2024,nao_atinge_mantem_2024,proj_2030_tendencia_uf,gap_tendencia_uf,nao_atinge_tendencia_uf,proj_2030_tendencia_encolhida,gap_tendencia_encolhida,nao_atinge_tendencia_encolhida
1100015,64.55,67.79,80.0,Alta Floresta D'Oeste,RO,306.0,0.899,0.0,3.24,0.866,2.302,67.79,-12.21,True,72.99,-7.01,True,81.6,1.6,False
1100023,62.3,65.62,80.0,Ariquemes,RO,1201.0,0.888,1.0,3.32,0.866,2.97,65.62,-14.38,True,70.82,-9.18,True,83.44,3.44,False
1100031,69.1,75.88,80.0,Cabixi,RO,81.0,0.926,1.0,5.0,0.866,2.058,75.88,-4.12,True,81.08,1.08,False,88.23,8.23,False
1100049,62.51,65.81,80.0,Cacoal,RO,1033.0,0.921,1.0,3.3,0.866,2.905,65.81,-14.19,True,71.01,-8.99,True,83.24,3.24,False
1100056,58.53,66.81,80.0,Cerejeiras,RO,253.0,0.964,1.0,5.0,0.866,3.175,66.81,-13.19,True,72.01,-7.99,True,85.86,5.86,False
1100064,62.85,71.69,80.0,Colorado do Oeste,RO,193.0,0.907,1.0,5.0,0.866,2.896,71.69,-8.31,True,76.89,-3.11,True,89.07,9.07,False
1100072,58.2,72.68,80.0,Corumbiara,RO,146.0,0.884,1.0,5.0,0.866,2.61,72.68,-7.32,True,77.88,-2.12,True,88.34,8.34,False
1100080,80.68,59.63,80.0,Costa Marques,RO,215.0,0.916,0.0,-5.0,0.866,-2.173,59.63,-20.37,True,64.83,-15.17,True,46.59,-33.41,True
1100098,85.33,71.16,80.0,Espigão D'Oeste,RO,435.0,0.901,1.0,-5.0,0.866,-3.152,71.16,-8.84,True,76.36,-3.64,True,52.25,-27.75,True
1100106,41.76,43.07,80.0,Guajará-Mirim,RO,542.0,0.9,0.0,1.31,0.866,1.19,43.07,-36.93,True,48.27,-31.73,True,50.21,-29.79,True
1100114,62.82,63.99,80.0,Jaru,RO,647.0,0.92,1.0,1.17,0.866,1.098,63.99,-16.01,True,69.19,-10.81,True,70.58,-9.42,True
1100122,81.83,72.81,80.0,Ji-Paraná,RO,1691.0,0.876,1.0,-5.0,0.866,-4.38,72.81,-7.19,True,78.01,-1.99,True,46.53,-33.47,True
1100130,51.4,64.75,80.0,Machadinho D'Oeste,RO,468.0,0.865,0.0,5.0,0.866,3.762,64.75,-15.25,True,69.95,-10.05,True,87.32,7.32,False
1100148,74.81,75.61,80.0,Nova Brasilândia D'Oeste,RO,257.0,0.934,1.0,0.8,0.866,0.829,75.61,-4.39,True,80.81,0.81,False,80.58,0.58,False
1100155,72.39,66.4,80.0,Ouro Preto do Oeste,RO,394.0,0.919,1.0,-5.0,0.866,-3.025,66.4,-13.6,True,71.6,-8.4,True,48.25,-31.75,True
1100189,69.73,81.06,80.0,Pimenta Bueno,RO,526.0,0.897,1.0,5.0,0.866,3.861,81.06,1.06,False,86.26,6.26,False,100.0,20.0,False
1100205,65.06,50.84,80.0,Porto Velho,RO,6347.0,0.854,1.0,-5.0,0.866,-4.821,50.84,-29.16,True,56.04,-23.96,True,21.92,-58.08,True
1100254,62.41,71.14,80.0,Presidente Médici,RO,224.0,0.902,1.0,5.0,0.866,3.05,71.14,-8.86,True,76.34,-3.66,True,89.44,9.44,False
1100262,83.84,62.81,80.0,Rio Crespo,RO,67.0,0.925,1.0,-5.0,0.866,-0.606,62.81,-17.19,True,68.01,-11.99,True,59.17,-20.83,True
1100288,68.81,75.19,80.0,Rolim de Moura,RO,738.0,0.912,1.0,5.0,0.866,4.119,75.19,-4.81,True,80.39,0.39,False,99.9,19.9,False
1100296,76.11,83.36,80.0,Santa Luzia D'Oeste,RO,85.0,0.918,1.0,5.0,0.866,2.099,83.36,3.36,False,88.56,8.56,False,95.95,15.95,False
1100304,65.62,71.66,80.0,Vilhena,RO,1529.0,0.863,1.0,5.0,0.866,4.522,71.66,-8.34,True,76.86,-3.14,True,98.79,18.79,False
1100320,67.75,69.13,80.0,São Miguel do Guaporé,RO,328.0,0.921,0.0,1.38,0.866,1.185,69.13,-10.87,True,74.33,-5.67,True,76.24,-3.76,True
1100338,63.02,45.3,80.0,Nova Mamoré,RO,463.0,0.873,0.0,-5.0,0.866,-3.23,45.3,-34.7,True,50.5,-29.5,True,25.92,-54.08,True
1100346,29.2,65.35,80.0,Alvorada D'Oeste,RO,169.0,0.852,1.0,5.0,0.866,2.759,65.35,-14.65,True,70.55,-9.45,True,81.91,1.91,False
1100379,69.52,79.54,80.0,Alto Alegre dos Parecis,RO,202.0,0.921,0.0,5.0,0.866,2.943,79.54,-0.46,True,84.74,4.74,False,97.2,17.2,False
1100403,61.53,60.45,80.0,Alto Paraíso,RO,200.0,0.855,0.0,-1.08,0.866,-0.107,60.45,-19.55,True,65.65,-14.35,True,59.81,-20.19,True
1100452,49.82,72.32,80.0,Buritis,RO,484.0,0.905,0.0,5.0,0.866,3.791,72.32,-7.68,True,77.52,-2.48,True,95.07,15.07,False
1100502,72.53,70.67,80.0,Novo Horizonte do Oeste,RO,109.0,0.936,1.0,-1.86,0.866,-0.096,70.67,-9.33,True,75.87,-4.13,True,70.1,-9.9,True
1100601,54.63,78.84,80.0,Cacaulândia,RO,77.0,0.883,1.0,5.0,0.866,2.015,78.84,-1.16,True,84.04,4.04,False,90.93,10.93,False
1100700,59.32,71.94,80.0,Campo Novo de Rondônia,RO,177.0,0.921,0.0,5.0,0.866,2.807,71.94,-8.06,True,77.14,-2.86,True,88.78,8.78,False
1100809,48.96,51.63,80.0,Candeias do Jamari,RO,434.0,0.843,0.0,2.67,0.866,2.101,51.63,-28.37,True,56.83,-23.17,True,64.24,-15.76,True
1100908,70.14,65.42,80.0,Castanheiras,RO,59.0,0.847,1.0,-4.72,0.866,-0.406,65.42,-14.58,True,70.62,-9.38,True,62.98,-17.02,True
1100924,80.72,71.99,80.0,Chupinguaia,RO,179.0,0.86,0.0,-5.0,0.866,-1.904,71.99,-8.01,True,77.19,-2.81,True,60.56,-19.44,True
1100940,77.47,67.6,80.0,Cujubim,RO,289.0,0.9,1.0,-5.0,0.866,-2.601,67.6,-12.4,True,72.8,-7.2,True,52.0,-28.0,True
1101005,65.11,70.76,80.0,Governador Jorge Teixeira,RO,135.0,0.919,0.0,5.0,0.866,2.532,70.76,-9.24,True,75.96,-4.04,True,85.95,5.95,False
1101104,98.79,70.62,80.0,Itapuã do Oeste,RO,177.0,0.904,0.0,-5.0,0.866,-1.888,70.62,-9.38,True,75.82,-4.18,True,59.29,-20.71,True
1101203,72.5,69.17,80.0,Ministro Andreazza,RO,87.0,0.943,1.0,-3.33,0.866,-0.406,69.17,-10.83,True,74.37,-5.63,True,66.73,-13.27,True
1101302,59.21,73.82,80.0,Mirante da Serra,RO,152.0,0.855,0.0,5.0,0.866,2.651,73.82,-6.18,True,79.02,-0.98,True,89.73,9.73,False
1101401,72.19,69.92,80.0,Monte Negro,RO,190.0,0.905,0.0,-2.27,0.866,-0.662,69.92,-10.08,True,75.12,-4.88,True,65.95,-14.05,True
1101435,60.65,70.92,80.0,Nova União,RO,94.0,0.904,0.0,5.0,0.866,2.188,70.92,-9.08,True,76.12,-3.88,True,84.05,4.05,False
1101450,61.04,70.6,80.0,Parecis,RO,64.0,0.922,0.0,5.0,0.866,1.868,70.6,-9.4,True,75.8,-4.2,True,81.81,1.81,False
1101476,86.09,57.63,80.0,Primavera de Rondônia,RO,68.0,0.868,1.0,-5.0,0.866,-0.622,57.63,-22.37,True,62.83,-17.17,True,53.9,-26.1,True
1101484,53.34,78.36,80.0,São Felipe D'Oeste,RO,64.0,0.828,1.0,5.0,0.866,1.868,78.36,-1.64,True,83.56,3.56,False,89.57,9.57,False
1101492,65.79,62.99,80.0,São Francisco do Guaporé,RO,300.0,0.88,0.0,-2.8,0.866,-1.334,62.99,-17.01,True,68.19,-11.81,True,54.99,-25.01,True
1101500,63.02,66.06,80.0,Seringueiras,RO,199.0,0.935,0.0,3.04,0.866,1.95,66.06,-13.94,True,71.26,-8.74,True,77.76,-2.24,True
