id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_2024,presenca_2024,taxa_presentes_2024,taxa_alf_2024,risco_previsto_2024,idhm,ivs,cluster,alerta_participacao
2805109,Pedrinhas,SE,Nordeste,65.0,0.954,0.113,0.108,0.579,0.592,0.544,0,False
2203354,Dirceu Arcoverde,PI,Nordeste,50.0,0.88,0.114,0.1,0.444,0.561,0.465,0,False
1707702,Filadélfia,TO,Norte,65.0,0.846,0.127,0.108,0.649,0.621,0.456,0,False
2902252,Arataca,BA,Nordeste,77.0,0.792,0.131,0.104,0.673,0.559,0.536,0,True
2915403,Itaju do Colônia,BA,Nordeste,79.0,0.747,0.153,0.114,0.636,0.592,0.515,0,True
1711951,Lagoa do Tocantins,TO,Norte,53.0,0.981,0.154,0.151,0.554,0.579,0.45,0,False
1200435,Santa Rosa do Purus,AC,Norte,76.0,0.763,0.155,0.118,0.573,0.517,0.564,0,True
2802700,Ilha das Flores,SE,Nordeste,129.0,0.891,0.157,0.14,0.667,0.562,0.506,0,False
2801504,Carmópolis,SE,Nordeste,166.0,0.892,0.162,0.145,0.615,0.643,0.347,1,False
2901908,Aporá,BA,Nordeste,238.0,0.966,0.165,0.16,0.664,0.548,0.523,0,False
2805604,Porto da Folha,SE,Nordeste,249.0,0.916,0.175,0.161,0.65,0.568,0.474,0,False
2933158,Várzea Nova,BA,Nordeste,161.0,0.969,0.179,0.174,0.682,0.555,0.515,0,False
2902203,Aramari,BA,Nordeste,87.0,0.897,0.179,0.161,0.658,0.588,0.539,0,False
1703073,Barra do Ouro,TO,Norte,76.0,0.947,0.181,0.171,0.631,0.603,0.544,0,False
2900207,Abaré,BA,Nordeste,162.0,0.981,0.182,0.179,0.707,0.575,0.51,0,False
1710706,Itaguatins,TO,Norte,60.0,0.817,0.184,0.15,0.609,0.616,0.466,0,False
2920809,Marcionílio Souza,BA,Nordeste,79.0,0.886,0.186,0.165,0.662,0.561,0.574,0,False
1304260,Uarini,AM,Norte,231.0,0.861,0.191,0.165,0.638,0.527,0.626,0,False
1703008,Babaçulândia,TO,Norte,83.0,0.819,0.191,0.157,0.588,0.642,0.407,0,False
2206654,Morro Cabeça no Tempo,PI,Nordeste,77.0,0.935,0.194,0.182,0.452,0.542,0.417,0,False
2802007,Divina Pastora,SE,Nordeste,54.0,0.944,0.196,0.185,0.575,0.61,0.45,0,False
1600105,Amapá,AP,Norte,130.0,0.862,0.196,0.169,0.603,0.642,0.524,0,False
2930501,Serrinha,BA,Nordeste,525.0,0.928,0.199,0.185,0.698,0.634,0.397,0,False
2925600,Presidente Dutra,BA,Nordeste,105.0,0.952,0.2,0.19,0.696,0.614,0.39,0,False
1713601,Monte do Carmo,TO,Norte,79.0,0.81,0.203,0.165,0.566,0.622,0.399,0,False
2924207,Pedro Alexandre,BA,Nordeste,134.0,0.985,0.205,0.201,0.635,0.513,0.593,0,False
2800209,Aquidabã,SE,Nordeste,98.0,0.888,0.207,0.184,0.653,0.578,0.454,0,False
2933059,Várzea da Roça,BA,Nordeste,89.0,0.921,0.207,0.191,0.705,0.539,0.472,0,False
2929800,Saúde,BA,Nordeste,87.0,0.943,0.207,0.195,0.666,0.549,0.491,0,False
2907202,Casa Nova,BA,Nordeste,490.0,0.878,0.209,0.184,0.749,0.57,0.467,0,False
2917003,Itiúba,BA,Nordeste,263.0,0.939,0.211,0.198,0.686,0.544,0.523,0,False
2923100,Olindina,BA,Nordeste,218.0,0.927,0.213,0.197,0.679,0.559,0.483,0,False
2908903,Coração de Maria,BA,Nordeste,199.0,0.849,0.213,0.181,0.678,0.592,0.477,0,False
1600501,Oiapoque,AP,Norte,512.0,0.75,0.214,0.16,0.679,0.658,0.56,0,True
2509057,Marcação,PB,Nordeste,148.0,0.872,0.217,0.189,0.527,0.529,0.563,0,False
2806305,Santa Luzia do Itanhy,SE,Nordeste,132.0,0.939,0.218,0.205,0.628,0.545,0.534,0,False
2405306,Boa Saúde,RN,Nordeste,66.0,0.621,0.22,0.136,0.65,0.574,0.453,0,True
2806404,Santana do São Francisco,SE,Nordeste,96.0,0.948,0.22,0.208,0.565,0.59,0.379,0,False
4320859,Tabaí,RS,Sul,68.0,0.868,0.22,0.191,0.426,0.701,0.239,1,False
2922250,Muquém de São Francisco,BA,Nordeste,132.0,0.894,0.22,0.197,0.674,0.549,0.499,0,False
1302553,Manaquiri,AM,Norte,237.0,0.785,0.22,0.173,0.585,0.596,0.535,0,True
2912707,Ibirapitanga,BA,Nordeste,221.0,0.923,0.221,0.204,0.668,0.558,0.541,0,False
2604205,Catende,PE,Nordeste,291.0,0.918,0.221,0.203,0.444,0.609,0.483,0,False
2924405,Pilão Arcado,BA,Nordeste,460.0,0.85,0.225,0.191,0.744,0.506,0.526,0,False
2911808,Guaratinga,BA,Nordeste,173.0,0.919,0.226,0.208,0.678,0.558,0.531,0,False
2909901,Curaçá,BA,Nordeste,402.0,0.965,0.229,0.221,0.67,0.581,0.461,0,False
2932457,Umburanas,BA,Nordeste,132.0,0.924,0.23,0.212,0.701,0.515,0.556,0,False
2928307,Santanópolis,BA,Nordeste,74.0,0.824,0.23,0.189,0.607,0.592,0.536,0,False
2505238,Cuité de Mamanguape,PB,Nordeste,83.0,0.783,0.231,0.181,0.5,0.524,0.644,0,True
2901601,Antas,BA,Nordeste,90.0,0.911,0.232,0.211,0.611,0.592,0.428,0,False
2906808,Cansanção,BA,Nordeste,389.0,0.853,0.232,0.198,0.682,0.557,0.536,0,False
2910909,Firmino Alves,BA,Nordeste,64.0,0.672,0.233,0.156,0.606,0.578,0.406,0,True
2920106,Mairi,BA,Nordeste,120.0,0.925,0.234,0.217,0.687,0.572,0.466,0,False
2916302,Itapebi,BA,Nordeste,78.0,0.821,0.234,0.192,0.665,0.572,0.491,0,False
2703601,Japaratinga,AL,Nordeste,119.0,0.824,0.235,0.193,0.543,0.57,0.558,0,False
2915106,Itagi,BA,Nordeste,122.0,0.975,0.235,0.23,0.666,0.543,0.476,0,False
2911402,Glória,BA,Nordeste,86.0,0.988,0.235,0.233,0.643,0.593,0.462,0,False
2703106,Igaci,AL,Nordeste,270.0,0.896,0.236,0.211,0.526,0.564,0.54,0,False
2926103,Retirolândia,BA,Nordeste,125.0,0.984,0.236,0.232,0.613,0.636,0.398,0,False
2910602,Esplanada,BA,Nordeste,378.0,0.95,0.24,0.228,0.686,0.589,0.458,0,False
2930105,Senhor do Bonfim,BA,Nordeste,508.0,0.959,0.24,0.23,0.663,0.666,0.361,0,False
2507408,Jericó,PB,Nordeste,63.0,0.857,0.241,0.206,0.458,0.603,0.373,0,False
2930204,Sento Sé,BA,Nordeste,489.0,0.877,0.242,0.213,0.648,0.585,0.485,0,False
2925006,Planalto,BA,Nordeste,196.0,0.923,0.243,0.224,0.691,0.56,0.473,0,False
2903953,Bom Jesus da Serra,BA,Nordeste,97.0,0.928,0.244,0.227,0.651,0.546,0.529,0,False
2923704,Paratinga,BA,Nordeste,260.0,0.896,0.245,0.219,0.646,0.59,0.457,0,False
2902104,Araci,BA,Nordeste,363.0,0.912,0.245,0.223,0.705,0.534,0.525,0,False
2915908,Itanagra,BA,Nordeste,85.0,0.624,0.245,0.153,0.651,0.584,0.516,0,True
2413102,Senador Elói de Souza,RN,Nordeste,84.0,0.679,0.246,0.167,0.644,0.583,0.511,0,True
2505204,Cuitegi,PB,Nordeste,68.0,0.838,0.246,0.206,0.512,0.57,0.484,0,False
2905602,Camacan,BA,Nordeste,228.0,0.838,0.246,0.206,0.659,0.581,0.487,0,False
2410108,Poço Branco,RN,Nordeste,98.0,0.663,0.246,0.163,0.721,0.587,0.487,0,True
2929305,São Gonçalo dos Campos,BA,Nordeste,236.0,0.86,0.246,0.212,0.691,0.627,0.411,0,False
2903300,Barro Preto,BA,Nordeste,100.0,0.89,0.247,0.22,0.588,0.602,0.526,0,False
2914653,Itabela,BA,Nordeste,342.0,0.915,0.249,0.228,0.687,0.599,0.507,0,False
2915304,Itagimirim,BA,Nordeste,86.0,0.93,0.25,0.233,0.513,0.634,0.395,1,False
2409803,Pedro Velho,RN,Nordeste,103.0,0.777,0.25,0.194,0.688,0.568,0.512,0,True
2707107,Piranhas,AL,Nordeste,404.0,0.928,0.251,0.233,0.545,0.589,0.508,0,False
1300508,Barreirinha,AM,Norte,489.0,0.838,0.251,0.211,0.596,0.574,0.622,0,False
2913903,Ipiaú,BA,Nordeste,338.0,0.964,0.252,0.243,0.645,0.67,0.367,0,False
2919157,Lapão,BA,Nordeste,311.0,0.968,0.252,0.244,0.677,0.596,0.442,0,False
2802205,Feira Nova,SE,Nordeste,89.0,0.978,0.253,0.247,0.58,0.584,0.434,0,False
2901809,Antônio Gonçalves,BA,Nordeste,82.0,0.963,0.253,0.244,0.644,0.598,0.391,0,False
2414209,Tibau do Sul,RN,Nordeste,261.0,0.828,0.255,0.211,0.693,0.645,0.344,0,False
2917334,Iuiú,BA,Nordeste,99.0,0.949,0.255,0.242,0.619,0.591,0.509,0,False
1200138,Bujari,AC,Norte,224.0,0.786,0.256,0.201,0.55,0.589,0.459,0,True
2907608,Central,BA,Nordeste,78.0,1.0,0.256,0.256,0.679,0.596,0.436,0,False
2930600,Serrolândia,BA,Nordeste,152.0,0.947,0.257,0.243,0.653,0.59,0.405,0,False
2929206,São Francisco do Conde,BA,Nordeste,390.0,0.877,0.257,0.226,0.712,0.674,0.374,1,False
2901700,Antônio Cardoso,BA,Nordeste,69.0,0.957,0.258,0.246,0.626,0.561,0.471,0,False
2919926,Madre de Deus,BA,Nordeste,197.0,0.944,0.258,0.244,0.591,0.708,0.306,1,False
1502806,Curralinho,PA,Norte,688.0,0.741,0.259,0.192,0.649,0.502,0.666,0,True
2922656,Nordestina,BA,Nordeste,211.0,0.834,0.261,0.218,0.652,0.56,0.509,0,False
1503754,Jacareacanga,PA,Norte,230.0,0.813,0.262,0.213,0.614,0.505,0.644,0,False
2928109,Santa Maria da Vitória,BA,Nordeste,315.0,0.797,0.263,0.21,0.636,0.614,0.403,0,True
2900603,Aiquara,BA,Nordeste,63.0,0.905,0.263,0.238,0.595,0.583,0.429,0,False
2405405,Japi,RN,Nordeste,66.0,0.864,0.263,0.227,0.612,0.569,0.504,0,False
2932705,Uruçuca,BA,Nordeste,193.0,0.824,0.264,0.218,0.661,0.616,0.468,0,False
2803609,Laranjeiras,SE,Nordeste,244.0,0.898,0.265,0.238,0.641,0.642,0.391,0,False
4321303,Taquari,RS,Sul,277.0,0.816,0.265,0.217,0.497,0.733,0.238,1,False
4301875,Barra do Quaraí,RS,Sul,65.0,0.985,0.266,0.262,0.482,0.662,0.259,1,False
2913606,Ilhéus,BA,Nordeste,1572.0,0.877,0.266,0.233,0.721,0.69,0.387,1,False
